Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2010 June,Dun Laoghaire-Rathdown - houses,Base,88.2
Residential Property Price Index,2010 June,Fingal - houses,Base,
Residential Property Price Index,2010 June,South Dublin - houses,Base,88.9
Residential Property Price Index,2010 June,National excluding Dublin - houses,Base,127.3
Residential Property Price Index,2010 June,Border - houses,Base,156.5
Residential Property Price Index,2010 June,Midland - houses,Base,151.7
Residential Property Price Index,2010 June,West - houses,Base,146.7
Residential Property Price Index,2010 June,Mid-East - houses,Base,108.3
Residential Property Price Index,2010 June,Mid-West - houses,Base,150.1
Residential Property Price Index,2010 June,South-East - houses,Base,133.5
Residential Property Price Index,2010 June,South-West - houses,Base,120.9
Residential Property Price Index,2010 July,National - houses,Base,105.7
Residential Property Price Index,2010 July,Dublin - houses,Base,88.4
Residential Property Price Index,2010 July,Dublin City - houses,Base,83.5
Residential Property Price Index,2010 July,Dun Laoghaire-Rathdown - houses,Base,88
Residential Property Price Index,2010 July,Fingal - houses,Base,89
Residential Property Price Index,2010 July,South Dublin - houses,Base,88.7
Residential Property Price Index,2010 July,National excluding Dublin - houses,Base,125.8
Residential Property Price Index,2010 July,Border - houses,Base,156
Residential Property Price Index,2010 July,Midland - houses,Base,146.6
Residential Property Price Index,2010 July,West - houses,Base,145.8
Residential Property Price Index,2010 July,Mid-East - houses,Base,106.7
Residential Property Price Index,2010 July,Mid-West - houses,Base,149
Residential Property Price Index,2010 July,South-East - houses,Base,130.5
Residential Property Price Index,2010 July,South-West - houses,Base,
Residential Property Price Index,2010 August,National - houses,Base,105.3
Residential Property Price Index,2010 August,Dublin - houses,Base,88.8
Residential Property Price Index,2010 August,Dublin City - houses,Base,83
Residential Property Price Index,2010 August,Dun Laoghaire-Rathdown - houses,Base,89.2
Residential Property Price Index,2010 August,Fingal - houses,Base,88.5
Residential Property Price Index,2010 August,South Dublin - houses,Base,88.8
Residential Property Price Index,2010 August,National excluding Dublin - houses,Base,124.5
Residential Property Price Index,2010 August,Border - houses,Base,155.7
Residential Property Price Index,2010 August,Midland - houses,Base,145.5
Residential Property Price Index,2010 August,West - houses,Base,143.6
Residential Property Price Index,2010 August,Mid-East - houses,Base,106.3
Residential Property Price Index,2010 August,Mid-West - houses,Base,147.4
Residential Property Price Index,2010 August,South-East - houses,Base,127.6
Residential Property Price Index,2010 August,South-West - houses,Base,117.7
Residential Property Price Index,2010 September,National - houses,Base,104.1
Residential Property Price Index,2010 September,Dublin - houses,Base,89.2
Residential Property Price Index,2010 September,Dublin City - houses,Base,83.6
Residential Property Price Index,2010 September,Dun Laoghaire-Rathdown - houses,Base,90.3
Residential Property Price Index,2010 September,Fingal - houses,Base,87.7
Residential Property Price Index,2010 September,South Dublin - houses,Base,88.2
Residential Property Price Index,2010 September,National excluding Dublin - houses,Base,121.8
Residential Property Price Index,2010 September,Border - houses,Base,
Residential Property Price Index,2010 September,Midland - houses,Base,142.5
Residential Property Price Index,2010 September,West - houses,Base,142.6
Residential Property Price Index,2010 September,Mid-East - houses,Base,104.7
Residential Property Price Index,2010 September,Mid-West - houses,Base,145.6
Residential Property Price Index,2010 September,South-East - houses,Base,124.5
Residential Property Price Index,2010 September,South-West - houses,Base,114
Residential Property Price Index,2010 October,National - houses,Base,102.3
Residential Property Price Index,2010 October,Dublin - houses,Base,87.8
Residential Property Price Index,2010 October,Dublin City - houses,Base,82.7
Residential Property Price Index,2010 October,Dun Laoghaire-Rathdown - houses,Base,89.6
Residential Property Price Index,2010 October,Fingal - houses,Base,88.5
Residential Property Price Index,2010 October,South Dublin - houses,Base,87
Residential Property Price Index,2010 October,National excluding Dublin - houses,Base,119.6
Residential Property Price Index,2010 October,Border - houses,Base,151.5
Residential Property Price Index,2010 October,Midland - houses,Base,140.3
Residential Property Price Index,2010 October,West - houses,Base,139
Residential Property Price Index,2010 October,Mid-East - houses,Base,103.1
Residential Property Price Index,2010 October,Mid-West - houses,Base,144.3
Residential Property Price Index,2010 October,South-East - houses,Base,121.4
Residential Property Price Index,2010 October,South-West - houses,Base,111.9
Residential Property Price Index,2010 November,National - houses,Base,100.2
Residential Property Price Index,2010 November,Dublin - houses,Base,
Residential Property Price Index,2010 November,Dublin City - houses,Base,
Residential Property Price Index,2010 November,Dun Laoghaire-Rathdown - houses,Base,87.8
Residential Property Price Index,2010 November,Fingal - houses,Base,87.8
Residential Property Price Index,2010 November,South Dublin - houses,Base,86.4
Residential Property Price Index,2010 November,National excluding Dublin - houses,Base,117.2
Residential Property Price Index,2010 November,Border - houses,Base,148.7
Residential Property Price Index,2010 November,Midland - houses,Base,133.4
Residential Property Price Index,2010 November,West - houses,Base,136.3
Residential Property Price Index,2010 November,Mid-East - houses,Base,
Residential Property Price Index,2010 November,Mid-West - houses,Base,141.4
Residential Property Price Index,2010 November,South-East - houses,Base,118.1
Residential Property Price Index,2010 November,South-West - houses,Base,110
Residential Property Price Index,2010 December,National - houses,Base,98.6
Residential Property Price Index,2010 December,Dublin - houses,Base,84.2
Residential Property Price Index,2010 December,Dublin City - houses,Base,81.6
Residential Property Price Index,2010 December,Dun Laoghaire-Rathdown - houses,Base,86.2
Residential Property Price Index,2010 December,Fingal - houses,Base,86.7
Residential Property Price Index,2010 December,South Dublin - houses,Base,85.5
Residential Property Price Index,2010 December,National excluding Dublin - houses,Base,115.7
Residential Property Price Index,2010 December,Border - houses,Base,
Residential Property Price Index,2010 December,Midland - houses,Base,131.8
Residential Property Price Index,2010 December,West - houses,Base,133.4
Residential Property Price Index,2010 December,Mid-East - houses,Base,
Residential Property Price Index,2010 December,Mid-West - houses,Base,142.3
Residential Property Price Index,2010 December,South-East - houses,Base,116.1
Residential Property Price Index,2010 December,South-West - houses,Base,107.6
Residential Property Price Index,2011 January,National - houses,Base,97.6
Residential Property Price Index,2011 January,Dublin - houses,Base,82.9
Residential Property Price Index,2011 January,Dublin City - houses,Base,81.8
Residential Property Price Index,2011 January,Dun Laoghaire-Rathdown - houses,Base,82.8
Residential Property Price Index,2011 January,Fingal - houses,Base,87.1
Residential Property Price Index,2011 January,South Dublin - houses,Base,84.1
Residential Property Price Index,2011 January,National excluding Dublin - houses,Base,114.8
Residential Property Price Index,2011 January,Border - houses,Base,149.8
Residential Property Price Index,2011 January,Midland - houses,Base,127.6
Residential Property Price Index,2011 January,West - houses,Base,130.2
Residential Property Price Index,2011 January,Mid-East - houses,Base,99.1
Residential Property Price Index,2011 January,Mid-West - houses,Base,137.3
Residential Property Price Index,2011 January,South-East - houses,Base,115.4
Residential Property Price Index,2011 January,South-West - houses,Base,105.7
Residential Property Price Index,2011 February,National - houses,Base,
Residential Property Price Index,2011 February,Dublin - houses,Base,81.1
Residential Property Price Index,2011 February,Dublin City - houses,Base,79.8
Residential Property Price Index,2011 February,Dun Laoghaire-Rathdown - houses,Base,79.9
Residential Property Price Index,2011 February,Fingal - houses,Base,87.6
Residential Property Price Index,2011 February,South Dublin - houses,Base,83.6
Residential Property Price Index,2011 February,National excluding Dublin - houses,Base,112.9
Residential Property Price Index,2011 February,Border - houses,Base,
Residential Property Price Index,2011 February,Midland - houses,Base,124.1
