Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2009 November,Dublin City - houses,Base,
Residential Property Price Index,2009 November,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 November,Fingal - houses,Base,
Residential Property Price Index,2009 November,South Dublin - houses,Base,
Residential Property Price Index,2009 November,National excluding Dublin - houses,Base,136.3
Residential Property Price Index,2009 November,Border - houses,Base,
Residential Property Price Index,2009 November,Midland - houses,Base,
Residential Property Price Index,2009 November,West - houses,Base,
Residential Property Price Index,2009 November,Mid-East - houses,Base,
Residential Property Price Index,2009 November,Mid-West - houses,Base,
Residential Property Price Index,2009 November,South-East - houses,Base,
Residential Property Price Index,2009 November,South-West - houses,Base,
Residential Property Price Index,2009 December,National - houses,Base,114.4
Residential Property Price Index,2009 December,Dublin - houses,Base,98
Residential Property Price Index,2009 December,Dublin City - houses,Base,
Residential Property Price Index,2009 December,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 December,Fingal - houses,Base,
Residential Property Price Index,2009 December,South Dublin - houses,Base,
Residential Property Price Index,2009 December,National excluding Dublin - houses,Base,135
Residential Property Price Index,2009 December,Border - houses,Base,
Residential Property Price Index,2009 December,Midland - houses,Base,
Residential Property Price Index,2009 December,West - houses,Base,
Residential Property Price Index,2009 December,Mid-East - houses,Base,
Residential Property Price Index,2009 December,Mid-West - houses,Base,
Residential Property Price Index,2009 December,South-East - houses,Base,
Residential Property Price Index,2009 December,South-West - houses,Base,
Residential Property Price Index,2010 January,National - houses,Base,113.3
Residential Property Price Index,2010 January,Dublin - houses,Base,95.2
Residential Property Price Index,2010 January,Dublin City - houses,Base,94.4
Residential Property Price Index,2010 January,Dun Laoghaire-Rathdown - houses,Base,95.4
Residential Property Price Index,2010 January,Fingal - houses,Base,98.9
Residential Property Price Index,2010 January,South Dublin - houses,Base,93.7
Residential Property Price Index,2010 January,National excluding Dublin - houses,Base,134.5
Residential Property Price Index,2010 January,Border - houses,Base,172.3
Residential Property Price Index,2010 January,Midland - houses,Base,159.3
Residential Property Price Index,2010 January,West - houses,Base,153.8
Residential Property Price Index,2010 January,Mid-East - houses,Base,114.4
Residential Property Price Index,2010 January,Mid-West - houses,Base,152.6
Residential Property Price Index,2010 January,South-East - houses,Base,139.8
Residential Property Price Index,2010 January,South-West - houses,Base,125.6
Residential Property Price Index,2010 February,National - houses,Base,111.5
Residential Property Price Index,2010 February,Dublin - houses,Base,92.7
Residential Property Price Index,2010 February,Dublin City - houses,Base,91
Residential Property Price Index,2010 February,Dun Laoghaire-Rathdown - houses,Base,93.2
Residential Property Price Index,2010 February,Fingal - houses,Base,96.7
